Filename,Series Title,Series ID,Seasonal Adjustment,Category,Relevance
SeriesReport-20251012014814_38bbe1.xlsx,"PPI Commodity data for Professional services (partial), not seasonally adjusted",WPU45,Seasonally Adjusted,Other/Review,⚙️ Review (Maybe Operational/Other)
SeriesReport-20250911143614_19cfbf - Copy.xlsx,,LASST060000000000006,Seasonally Adjusted,Other/Review,⚙️ Review (Maybe Operational/Other)
SeriesReport-20250911145402_d3d684 - Copy.xlsx,,LASST060000000000006,Seasonally Adjusted,Other/Review,⚙️ Review (Maybe Operational/Other)
SeriesReport-20251012013339_c7b214.xlsx,,LNU04034205,Seasonally Adjusted,Other/Review,⚙️ Review (Maybe Operational/Other)
SeriesReport-20251012014841_00ad01.xlsx,"PPI Commodity data for Professional services (partial)-Accounting services (partial), not seasonally adjusted",WPU452,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014839_c35fdd.xlsx,"PPI Commodity data for Professional services (partial)-Accounting services (partial), seasonally adjusted",WPS452,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012020935_607201.xlsx,"PPI Commodity data for Professional services (partial)-Accounting services, excluding payroll, seasonally adjusted",WPS4521,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012015022_423d56.xlsx,"PPI Commodity data for Professional services (partial)-Administrative and general management consulting services, not seasonally adjusted",WPU454101,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012015020_39a9c3.xlsx,"PPI Commodity data for Professional services (partial)-Administrative and general management consulting services, seasonally adjusted",WPS454101,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012015108_0bd6e7.xlsx,"PPI Commodity data for Professional services (partial)-Advertising agency services, not seasonally adjusted",WPU4551,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012015106_dfcb16.xlsx,"PPI Commodity data for Professional services (partial)-Advertising and related services (partial), not seasonally adjusted",WPU455,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014930_c4da6b.xlsx,"PPI Commodity data for Professional services (partial)-Architectural and engineering services, not seasonally adjusted",WPU453,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014932_b12f39.xlsx,"PPI Commodity data for Professional services (partial)-Architectural and engineering services, seasonally adjusted",WPS453,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014942_c40a15.xlsx,"PPI Commodity data for Professional services (partial)-Engineering services, not seasonally adjusted",WPU4532,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014940_0907ea.xlsx,"PPI Commodity data for Professional services (partial)-Engineering services, seasonally adjusted",WPS4532,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014922_7afc20.xlsx,"PPI Commodity data for Professional services (partial)-Financial auditing, not seasonally adjusted",WPU452101,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012014924_6c437e.xlsx,"PPI Commodity data for Professional services (partial)-Financial auditing, seasonally adjusted",WPS452101,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
SeriesReport-20251012015026_62ed1a.xlsx,"PPI Commodity data for Professional services (partial)-Human resources consulting services, not seasonally adjusted",WPU45410201,Seasonally Adjusted,Professional Services (Operational),✅ Include (Operational Input)
