Series ID,Year,Period,Label,Value
CUUR0000SETD,2015,M01,2015 Jan,268.869
CUUR0000SETD,2015,M02,2015 Feb,269.136
CUUR0000SETD,2015,M03,2015 Mar,268.907
CUUR0000SETD,2015,M04,2015 Apr,269.948
CUUR0000SETD,2015,M05,2015 May,270.764
CUUR0000SETD,2015,M06,2015 Jun,270.981
CUUR0000SETD,2015,M07,2015 Jul,271.175
CUUR0000SETD,2015,M08,2015 Aug,270.838
CUUR0000SETD,2015,M09,2015 Sep,271.119
CUUR0000SETD,2015,M10,2015 Oct,271.804
CUUR0000SETD,2015,M11,2015 Nov,272.090
CUUR0000SETD,2015,M12,2015 Dec,272.967
CUUR0000SETD,2016,M01,2016 Jan,273.097
CUUR0000SETD,2016,M02,2016 Feb,273.072
CUUR0000SETD,2016,M03,2016 Mar,273.980
CUUR0000SETD,2016,M04,2016 Apr,274.864
CUUR0000SETD,2016,M05,2016 May,275.331
CUUR0000SETD,2016,M06,2016 Jun,275.563
CUUR0000SETD,2016,M07,2016 Jul,276.058
CUUR0000SETD,2016,M08,2016 Aug,275.923
CUUR0000SETD,2016,M09,2016 Sep,275.331
CUUR0000SETD,2016,M10,2016 Oct,275.645
CUUR0000SETD,2016,M11,2016 Nov,277.348
CUUR0000SETD,2016,M12,2016 Dec,278.002
CUUR0000SETD,2017,M01,2017 Jan,279.523
CUUR0000SETD,2017,M02,2017 Feb,279.782
CUUR0000SETD,2017,M03,2017 Mar,279.600
CUUR0000SETD,2017,M04,2017 Apr,280.170
CUUR0000SETD,2017,M05,2017 May,280.388
CUUR0000SETD,2017,M06,2017 Jun,279.294
CUUR0000SETD,2017,M07,2017 Jul,279.605
CUUR0000SETD,2017,M08,2017 Aug,280.488
CUUR0000SETD,2017,M09,2017 Sep,282.203
CUUR0000SETD,2017,M10,2017 Oct,283.257
CUUR0000SETD,2017,M11,2017 Nov,282.502
CUUR0000SETD,2017,M12,2017 Dec,283.107
CUUR0000SETD,2018,M01,2018 Jan,283.305
CUUR0000SETD,2018,M02,2018 Feb,284.032
CUUR0000SETD,2018,M03,2018 Mar,283.656
CUUR0000SETD,2018,M04,2018 Apr,284.367
CUUR0000SETD,2018,M05,2018 May,284.851
CUUR0000SETD,2018,M06,2018 Jun,285.753
CUUR0000SETD,2018,M07,2018 Jul,286.067
CUUR0000SETD,2018,M08,2018 Aug,286.931
CUUR0000SETD,2018,M09,2018 Sep,288.457
CUUR0000SETD,2018,M10,2018 Oct,289.057
CUUR0000SETD,2018,M11,2018 Nov,290.114
CUUR0000SETD,2018,M12,2018 Dec,289.705
CUUR0000SETD,2019,M01,2019 Jan,290.758
CUUR0000SETD,2019,M02,2019 Feb,291.993
CUUR0000SETD,2019,M03,2019 Mar,294.226
CUUR0000SETD,2019,M04,2019 Apr,295.266
CUUR0000SETD,2019,M05,2019 May,294.586
