Series ID,Year,Period,Label,Value,12-Month Net Change,12-Month % Change
WPU03,2015,M01,2015 Jan,144.7,N/A,-0.3
WPU03,2015,M02,2015 Feb,144.4,N/A,-0.8
WPU03,2015,M03,2015 Mar,144.4,N/A,-0.8
WPU03,2015,M04,2015 Apr,144.3,N/A,-1.0
WPU03,2015,M05,2015 May,144.6,N/A,-0.8
WPU03,2015,M06,2015 Jun,143.8,N/A,-1.3
WPU03,2015,M07,2015 Jul,144.1,N/A,-1.2
WPU03,2015,M08,2015 Aug,143.9,N/A,-1.3
WPU03,2015,M09,2015 Sep,143.8,N/A,-1.3
WPU03,2015,M10,2015 Oct,143.7,N/A,-1.2
WPU03,2015,M11,2015 Nov,143.5,N/A,-1.1
WPU03,2015,M12,2015 Dec,143.6,N/A,-1.0
WPU03,2016,M01,2016 Jan,143.8,N/A,-0.6
WPU03,2016,M02,2016 Feb,143.6,N/A,-0.6
WPU03,2016,M03,2016 Mar,143.4,N/A,-0.7
WPU03,2016,M04,2016 Apr,143.3,N/A,-0.7
WPU03,2016,M05,2016 May,143.3,N/A,-0.9
WPU03,2016,M06,2016 Jun,143.1,N/A,-0.5
WPU03,2016,M07,2016 Jul,143.1,N/A,-0.7
WPU03,2016,M08,2016 Aug,143.3,N/A,-0.4
WPU03,2016,M09,2016 Sep,143.4,N/A,-0.3
WPU03,2016,M10,2016 Oct,143.2,N/A,-0.3
WPU03,2016,M11,2016 Nov,143.4,N/A,-0.1
WPU03,2016,M12,2016 Dec,143.4,N/A,-0.1
WPU03,2017,M01,2017 Jan,144.3,N/A,0.3
WPU03,2017,M02,2017 Feb,144.5,N/A,0.6
WPU03,2017,M03,2017 Mar,144.6,N/A,0.8
WPU03,2017,M04,2017 Apr,145.1,N/A,1.3
WPU03,2017,M05,2017 May,145.0,N/A,1.2
WPU03,2017,M06,2017 Jun,145.3,N/A,1.5
WPU03,2017,M07,2017 Jul,145.4,N/A,1.6
WPU03,2017,M08,2017 Aug,145.2,N/A,1.3
WPU03,2017,M09,2017 Sep,145.2,N/A,1.3
WPU03,2017,M10,2017 Oct,145.2,N/A,1.4
WPU03,2017,M11,2017 Nov,145.5,N/A,1.5
WPU03,2017,M12,2017 Dec,145.5,N/A,1.5
WPU03,2018,M01,2018 Jan,146.9,N/A,1.8
WPU03,2018,M02,2018 Feb,147.6,N/A,2.1
WPU03,2018,M03,2018 Mar,148.1,N/A,2.4
WPU03,2018,M04,2018 Apr,148.4,N/A,2.3
WPU03,2018,M05,2018 May,148.7,N/A,2.6
WPU03,2018,M06,2018 Jun,149.0,N/A,2.5
WPU03,2018,M07,2018 Jul,149.4,N/A,2.8
WPU03,2018,M08,2018 Aug,150.3,N/A,3.5
WPU03,2018,M09,2018 Sep,150.6,N/A,3.7
WPU03,2018,M10,2018 Oct,150.7,N/A,3.8
